position, power
9.00, 0.0149
9.10, 0.0149
9.20, 0.0151
9.30, 0.0154
9.40, 0.0155
9.50, 0.0158
9.60, 0.0161
9.70, 0.0166
9.80, 0.0169
9.90, 0.0171
10.00, 0.0174
10.10, 0.0176
10.20, 0.0179
10.30, 0.0183
10.40, 0.0187
10.50, 0.0195
10.60, 0.0204
10.70, 0.0213
10.80, 0.0226
10.90, 0.0235
11.00, 0.0244
11.10, 0.0253
11.20, 0.0260
11.30, 0.0269
11.40, 0.0275
11.50, 0.0283
11.60, 0.0291
11.70, 0.0298
11.80, 0.0308
11.90, 0.0320
12.00, 0.0339
12.10, 0.0355
12.20, 0.0370
12.30, 0.0388
12.40, 0.0412
12.50, 0.0446
12.60, 0.0482
12.70, 0.0511
12.80, 0.0549
12.90, 0.0604
13.00, 0.0695
13.10, 0.0865
13.20, 0.134
13.30, 0.272
13.40, 0.506
13.50, 0.882
13.60, 1.46
13.70, 2.38
13.80, 3.98
13.90, 5.81
14.00, 7.59
14.10, 9.43
14.20, 11.26
14.30, 13.20
14.40, 14.40
14.50, 15.1
14.60, 15.6
14.70, 16.0
14.80, 16.3
14.90, 16.4
15.00, 16.4
15.10, 16.5
15.20, 16.5
15.30, 16.5
15.40, 16.5
15.50, 16.5
15.60, 16.5
15.70, 16.5
15.80, 16.5
15.90, 16.5
16.00, 16.5